salesid,theater_count,international,domestic
1224,3018,44152508,47958031
1225,832,228588,4357745
1226,2,,233053
1227,1,,56214
1228,2745,44462110,58990765
1229,1353,38034860,34366518
1230,10,3662629,889857
1231,2705,31550021,32682342
1232,9,13321268,1530386
1233,1520,11800000,25266129
1234,7,5249,257315
1235,1161,,5644575
1236,1,,13000
1237,1583,37700000,39692139
1238,4,39947,151133
1239,3028,40200000,59623958
1240,3047,26456108,50026353
1241,14,,343816
1242,2836,1642559,46213824
1243,1317,82795,31203964
1244,1931,1286641,22913677
1245,1,,34646
1246,2609,1505000,22406362
1247,2148,17045706,14589444
1248,,,
1249,2654,10000000,16323969
1250,2,26994,54523
1251,1014,1601514,8047525
1252,1,,29367
1253,,,44287
1254,2649,20869404,33664370
1255,9,90735,767240
1256,,,
1257,17,,39381
1258,1,,16265
1259,2979,53061763,77906816
1260,7,28157,226189
1261,1,27334,529212
1262,1332,,2694071
1263,2445,1017924,13548322
1264,2323,2539280,14334645
1265,2449,12091269,17848322
1266,2839,44667242,86047227
1267,1,,15679
1268,2,157691,344974
1269,4,,669128
1270,1,,19050
1271,,,27516
1272,3006,7138351,14018364
1273,16,,87923
1274,41,10704440,11529368
1275,,,62544
1276,2,,275363
1277,3575,180000000,120150546
1278,56,5877131,4180870
1279,1318,279935,12232382
1280,6,,213954
1281,5,1758671,1971135
1282,2,2456075,482357
1283,3411,349853463,133298577
1284,5,,4920
1285,4163,494027731,441226247
1286,1,135210,2589616
1287,3,7838323,548707
1288,1,,81883
1289,156,,174318
1290,1,,50968
1291,2717,12356903,37485528
1292,20,1320391,8886160
1293,1566,631596,13922211
1294,3425,369099318,186740799
1295,7,1976424,1062253
1296,,,
1297,2,,6164
1298,2,809,96638
1299,1,,2422
1300,3855,539834982,249757726
1301,1,,8798
